fromStation,toStation,distance
utm,bhv,62
bhv,utm,62
bhv,uto,56
uto,bhv,56
uto,ut,34
ut,uto,34
ndb,ampo,172
ampo,ndb,172
bd,bdpb,48
bdpb,bd,48
bdpb,zlw,101
zlw,bdpb,101
ehv,ehs,26
ehs,ehv,26
ehs,bet,74
bet,ehs,74
bet,btl,99
btl,bet,99
btl,ot,89
ot,btl,89
ot,tb,81
tb,ot,81
rsd,odb,69
odb,rsd,69
odb,zvb,81
zvb,odb,81
zvb,zlw,78
zlw,zvb,78
zlw,ddzd,115
ddzd,zlw,115
ddzd,ddr,28
ddr,ddzd,28
ddr,ddrs,21
ddrs,ddr,21
ddrs,sdtb,37
sdtb,ddrs,37
sdtb,sdt,32
sdt,sdtb,32
sdt,hbzm,26
hbzm,sdt,26
hbzm,gnd,14
gnd,hbzm,14
gnd,bhdv,28
bhdv,gnd,28
bhdv,gr,66
gr,bhdv,66
gr,akl,47
akl,gr,47
akl,ldm,74
ldm,akl,74
ldm,bsd,68
bsd,ldm,68
bsd,gdm,68
gdm,bsd,68
hdr,hdrz,26
hdrz,hdr,26
hdrz,ana,89
ana,hdrz,89
ana,sgn,91
sgn,ana,91
sgn,hwd,139
hwd,sgn,139
hwd,amrn,51
amrn,hwd,51
amrn,amr,17
amr,amrn,17
amr,hlo,51
hlo,amr,51
hlo,cas,68
cas,hlo,68
cas,utg,42
utg,cas,42
utg,kma,50
kma,utg,50
kma,wm,19
wm,kma,19
wm,zzs,28
zzs,wm,28
zzs,kz,12
kz,zzs,12
kz,zd,21
zd,kz,21
zd,ass,82
ass,zd,82
ass,asd,50
asd,ass,50
asd,asdm,36
asdm,asd,36
asdm,asa,26
asa,asdm,26
asa,dvd,21
dvd,asa,21
dvd,asb,10
asb,dvd,10
asb,ashd,11
ashd,asb,11
ashd,ac,50
ac,ashd,50
ac,bkl,113
bkl,ac,113
bkl,mas,53
mas,bkl,53
mas,utzl,49
utzl,mas,49
utzl,ut,31
ut,utzl,31
ut,utvr,15
utvr,ut,15
utvr,bnk,55
bnk,utvr,55
bnk,db,45
db,bnk,45
db,mrn,77
mrn,db,77
mrn,klp,146
klp,mrn,146
klp,ed,70
ed,klp,70
ed,wf,87
wf,ed,87
wf,otb,35
otb,wf,35
otb,ah,45
ah,otb,45
ah,ahz,60
ahz,ah,60
ahz,est,43
est,ahz,43
est,nml,58
nml,est,58
nml,nm,25
nm,nml,25
rhn,vndc,73
vndc,rhn,73
vndc,vndw,14
vndw,vndc,14
vndw,mrn,132
mrn,vndw,132
ut,utlr,39
utlr,ut,39
utlr,utt,17
utt,utlr,17
utt,vtn,21
vtn,utt,21
vtn,wd,82
wd,vtn,82
wd,gdg,154
gdg,wd,154
gdg,gd,14
gd,gdg,14
gd,llzm,134
llzm,gd,134
llzm,ztmo,20
ztmo,llzm,20
ztmo,ztm,12
ztm,ztmo,12
ztm,ypb,61
ypb,ztm,61
ypb,vb,24
vb,ypb,24
vb,gvc,31
gvc,vb,31
zvt,ovn,56
ovn,zvt,56
ovn,hlm,23
hlm,ovn,23
hlm,bll,20
bll,hlm,20
bll,sptz,19
sptz,bll,19
sptz,sptn,16
sptn,sptz,16
sptn,drh,9
drh,sptn,9
drh,bv,46
bv,drh,46
bv,hk,27
hk,bv,27
hk,utg,36
utg,hk,36
ekz,bkf,24
bkf,ekz,24
bkf,bkg,13
bkg,bkf,13
bkg,hks,37
hks,bkg,37
hks,hnk,79
hnk,hks,79
hnk,hn,22
hn,hnk,22
hn,pmo,178
pmo,hn,178
pmo,pmr,16
pmr,pmo,16
pmr,pmw,16
pmw,pmr,16
pmw,zdk,90
zdk,pmw,90
zdk,zd,28
zd,zdk,28
hwd,obd,60
obd,hwd,60
obd,hn,109
hn,obd,109
stv,kmw,42
kmw,stv,42
kmw,hnp,52
hnp,kmw,52
hnp,wk,35
wk,hnp,35
wk,ijt,121
ijt,wk,121
ijt,sk,35
sk,ijt,35
sk,sknd,9
sknd,sk,9
sknd,mg,110
mg,sknd,110
mg,lw,98
lw,mg,98
lw,lwc,32
lwc,lw,32
lwc,hdg,68
hdg,lwc,68
hdg,fwd,40
fwd,hdg,40
fwd,dwe,32
dwe,fwd,32
dwe,bp,77
bp,dwe,77
bp,gk,108
gk,bp,108
gk,zh,70
zh,gk,70
zh,gn,118
gn,zh,118
gn,gerp,26
gerp,gn,26
gerp,kw,87
kw,gerp,87
kw,mth,19
mth,kw,19
mth,hgz,18
hgz,mth,18
hgz,zb,66
zb,hgz,66
zb,sda,77
sda,zb,77
sda,ws,49
ws,sda,49
ws,nsch,120
nsch,ws,120
hlgh,hlg,10
hlg,hlgh,10
hlg,fn,84
fn,hlg,84
fn,drp,63
drp,fn,63
drp,dei,70
dei,drp,70
dei,lw,37
lw,dei,37
lw,gw,136
gw,lw,136
gw,akm,48
akm,gw,48
akm,hr,115
hr,akm,115
hr,hry,25
hry,hr,25
hry,wv,76
wv,hry,76
wv,swk,126
swk,wv,126
swk,mp,139
mp,swk,139
mp,zl,277
zl,mp,277
zl,wz,89
wz,zl,89
wz,hde,87
hde,wz,87
hde,ns,87
ns,hde,87
ns,hd,122
hd,ns,122
hd,eml,42
eml,hd,42
eml,pt,49
pt,eml,49
pt,nkk,74
nkk,pt,74
nkk,avat,52
avat,nkk,52
avat,amfs,31
amfs,avat,31
amfs,amf,32
amf,amfs,32
amf,dld,95
dld,amf,95
dld,bhv,29
bhv,dld,29
utvr,utln,20
utln,utvr,20
utln,htn,41
htn,utln,41
htn,htnc,20
htnc,htn,20
htnc,cl,87
cl,htnc,87
cl,gdm,77
gdm,cl,77
gdm,zbm,94
zbm,gdm,94
zbm,ht,127
ht,zbm,127
rd,eem,71
eem,rd,71
rd,uhm,31
uhm,rd,31
uhm,uhz,31
uhz,uhm,31
uhz,ust,47
ust,uhz,47
ust,wfm,31
wfm,ust,31
wfm,bf,49
bf,wfm,49
bf,wsm,34
wsm,bf,34
wsm,swd,47
swd,wsm,47
swd,gnn,71
gnn,swd,71
gnn,gn,39
gn,gnn,39
zb,vdm,75
vdm,zb,75
dz,dzw,9
dzw,dz,9
dzw,apg,32
apg,dzw,32
apg,lp,80
lp,apg,80
lp,stm,35
stm,lp,35
stm,bdm,70
bdm,stm,70
bdm,swd,42
swd,bdm,42
gerp,hrn,30
hrn,gerp,30
hrn,asn,222
asn,hrn,222
asn,bl,156
bl,asn,156
bl,hgv,139
hgv,bl,139
hgv,mp,199
mp,hgv,199
zl,hno,123
hno,zl,123
hno,rat,58
rat,hno,58
rat,nvd,132
nvd,rat,132
nvd,wdn,85
wdn,nvd,85
wdn,aml,46
aml,wdn,46
emn,emnz,51
emnz,emn,51
emnz,na,38
na,emnz,38
na,dln,70
dln,na,70
dln,co,40
co,dln,40
co,gbg,77
gbg,co,77
gbg,hdb,51
hdb,gbg,51
hdb,mrb,85
mrb,hdb,85
mrb,omn,111
omn,mrb,111
omn,dl,108
dl,omn,108
dl,zl,124
zl,dl,124
zl,zlsh,37
zlsh,zl,37
zlsh,kpn,96
kpn,zlsh,96
mrb,vhp,62
vhp,mrb,62
vhp,da,20
da,vhp,20
da,vz,46
vz,da,46
vz,aml,62
aml,vz,62
aml,amri,18
amri,aml,18
amri,bn,75
bn,amri,75
bn,hgl,53
hgl,bn,53
hgl,esk,38
esk,hgl,38
esk,es,38
es,esk,38
es,ese,42
ese,es,42
ese,gbr,20
gbr,ese,20
odz,hglo,88
hglo,odz,88
hglo,hgl,22
hgl,hglo,22
hgl,hglg,17
hglg,hgl,17
hglg,ddn,42
ddn,hglg,42
ddn,go,94
go,ddn,94
go,lc,133
lc,go,133
lc,zp,171
zp,lc,171
zp,bmn,71
bmn,zp,71
bmn,dr,60
dr,bmn,60
dr,rh,61
rh,dr,61
rh,vp,40
vp,rh,40
vp,ahpr,25
ahpr,vp,25
ahpr,ahp,16
ahp,ahpr,16
ahp,ah,19
ah,ahp,19
apd,apdm,25
apdm,apd,25
apdm,kbk,66
kbk,apdm,66
kbk,vem,42
vem,kbk,42
vem,zp,42
zp,vem,42
zp,vd,118
vd,zp,118
vd,rl,96
rl,vd,96
rl,ltv,127
ltv,rl,127
ltv,www,86
www,ltv,86
www,ww,10
ww,www,10
ww,atn,124
atn,ww,124
atn,vsv,83
vsv,atn,83
vsv,tbg,69
tbg,vsv,69
tbg,gdr,16
gdr,tbg,16
gdr,dtc,51
dtc,gdr,51
dtc,dtch,19
dtch,dtc,19
dtch,wl,36
wl,dtch,36
wl,did,60
did,wl,60
did,zv,46
zv,did,46
zv,dvn,44
dvn,zv,44
dvn,wtv,38
wtv,dvn,38
wtv,ahp,43
ahp,wtv,43
est,za,110
za,est,110
za,hmn,32
hmn,za,32
hmn,op,30
op,hmn,30
op,ktr,34
ktr,op,34
ktr,tl,120
tl,ktr,120
hlm,had,45
had,hlm,45
had,hil,69
hil,had,69
hil,vh,107
vh,hil,107
vh,ledn,70
ledn,vh,70
ledn,dvnk,26
dvnk,ledn,26
dvnk,vst,27
vst,dvnk,27
vst,gvm,61
gvm,vst,61
gvm,laa,25
laa,gvm,25
laa,gvc,15
gvc,laa,15
hlm,hlms,19
hlms,hlm,19
hlms,hwzb,67
hwzb,hlms,67
hwzb,ass,60
ass,hwzb,60
asdm,assp,14
assp,asdm,14
assp,dmn,21
dmn,assp,21
dmn,wp,63
wp,dmn,63
wp,ampo,117
ampo,wp,117
ampo,almm,14
almm,ampo,14
almm,alm,20
alm,almm,20
alm,almp,19
almp,alm,19
almp,almb,31
almb,almp,31
almb,almo,18
almo,almb,18
almo,lls,181
lls,almo,181
lls,dron,210
dron,lls,210
dron,kpnz,140
kpnz,dron,140
kpnz,zl,150
zl,kpnz,150
zl,wh,140
wh,zl,140
wh,ost,65
ost,wh,65
ost,dv,92
dv,ost,92
dv,zp,164
zp,dv,164
nm,nmh,17
nmh,nm,17
nmh,mmlh,74
mmlh,nmh,74
mmlh,ck,46
ck,mmlh,46
ck,bmr,103
bmr,ck,103
bmr,vlb,71
vlb,bmr,71
vlb,vry,73
vry,vlb,73
vry,br,206
br,vry,206
br,vl,17
vl,br,17
vl,tg,49
tg,vl,49
tg,rv,70
rv,tg,70
rv,sm,64
sm,rv,64
sm,rm,54
rm,sm,54
rm,ec,133
ec,rm,133
ec,srn,45
srn,ec,45
srn,std,66
std,srn,66
std,lut,39
lut,std,39
lut,bk,41
bk,lut,41
bk,bde,75
bde,bk,75
bde,mtn,34
mtn,bde,34
mtn,mt,30
mt,mtn,30
mt,mtr,16
mtr,mt,16
mtr,edn,75
edn,mtr,75
amf,hvl,60
hvl,amf,60
hvl,bnn,102
bnn,hvl,102
bnn,bnc,24
bnc,bnn,24
bnc,bnz,21
bnz,bnc,21
bnz,ltn,51
ltn,bnz,51
ltn,edc,58
edc,ltn,58
edc,ed,21
ed,edc,21
wdn,rsn,77
rsn,wdn,77
rsn,hon,75
hon,rsn,75
hon,dvc,146
dvc,hon,146
dvc,dv,45
dv,dvc,45
dv,twl,47
twl,dv,47
twl,apdo,71
apdo,twl,71
apdo,apd,28
apd,apdo,28
apd,hvl,377
hvl,apd,377
amf,brn,89
brn,amf,89
brn,hvs,71
hvs,brn,71
hvs,hvsm,15
hvsm,hvs,15
hvsm,bsmz,33
bsmz,hvsm,33
bsmz,ndb,16
ndb,bsmz,16
ndb,wp,91
wp,ndb,91
wp,dmnz,62
dmnz,wp,62
dmnz,dvd,16
dvd,dmnz,16
dvd,rai,43
rai,dvd,43
rai,asdz,8
asdz,rai,8
asdz,shl,92
shl,asdz,92
ass,asdl,38
asdl,ass,38
asdl,shl,86
shl,asdl,86
shl,hfd,46
hfd,shl,46
hfd,rtd,478
rtd,hfd,478
rtd,rtb,19
rtb,rtd,19
rtb,rtz,24
rtz,rtb,24
rtz,rtst,11
rtst,rtz,11
rtst,rlb,18
rlb,rtst,18
rlb,bdpb,338
bdpb,rlb,338
gvc,gv,18
gv,gvc,18
gv,gvmw,18
gvmw,gv,18
gvmw,rsw,18
rsw,gvmw,18
rsw,dt,38
dt,rsw,38
dt,dtz,21
dtz,dt,21
dtz,sdm,87
sdm,dtz,87
sdm,rtd,41
rtd,sdm,41
rlb,brd,33
brd,rlb,33
brd,zwd,78
zwd,brd,78
zwd,ddr,20
ddr,zwd,20
rsd,bgn,134
bgn,rsd,134
bgn,rb,157
rb,bgn,157
rb,kbd,33
kbd,rb,33
kbd,krg,67
krg,kbd,67
krg,bzl,59
bzl,krg,59
bzl,gs,52
gs,bzl,52
gs,arn,153
arn,gs,153
arn,mdb,37
mdb,arn,37
mdb,vss,39
vss,mdb,39
vss,vs,22
vs,vss,22
ledn,ssh,68
ssh,ledn,68
ssh,nvp,103
nvp,ssh,103
nvp,hfd,51
hfd,nvp,51
rai,asb,50
asb,rai,50
hvs,hvsp,12
hvsp,hvs,12
hvsp,hor,42
hor,hvsp,42
hor,uto,87
uto,hor,87
brn,sd,31
sd,brn,31
sd,st,15
st,sd,15
st,stz,9
stz,st,9
stz,dld,54
dld,stz,54
eghm,lg,30
lg,eghm,30
lg,hrl,32
hrl,lg,32
hrl,hrlw,18
hrlw,hrl,18
hrlw,vdl,20
vdl,hrlw,20
vdl,kmr,36
kmr,vdl,36
kmr,sog,23
sog,kmr,23
sog,vk,32
vk,sog,32
vk,sgl,27
sgl,vk,27
sgl,mes,33
mes,sgl,33
mes,mtn,24
mtn,mes,24
krd,cvm,20
cvm,krd,20
cvm,egh,18
egh,cvm,18
egh,lg,18
lg,egh,18
hrl,hb,36
hb,hrl,36
hb,nh,30
nh,hb,30
nh,sn,28
sn,nh,28
sn,sbk,19
sbk,sn,19
sbk,gln,32
gln,sbk,32
gln,std,40
std,gln,40
rm,wt,236
wt,rm,236
wt,mz,95
mz,wt,95
mz,hze,102
hze,mz,102
hze,gp,42
gp,hze,42
gp,ehv,61
ehv,gp,61
btl,vg,80
vg,btl,80
vg,ht,42
ht,vg,42
gdm,tpsw,92
tpsw,gdm,92
tpsw,tl,27
tl,tpsw,27
rtd,rtn,50
rtn,rtd,50
rtn,rta,52
rta,rtn,52
rta,cps,20
cps,rta,20
cps,nwk,22
nwk,cps,22
nwk,gd,94
gd,nwk,94
wd,bkl,126
bkl,wd,126
nm,nmgo,30
nmgo,nm,30
nmgo,nmd,19
nmd,nmgo,19
nmd,wc,47
wc,nmd,47
wc,rvs,67
rvs,wc,67
rvs,o,84
o,rvs,84
o,ow,18
ow,o,18
ow,rs,106
rs,ow,106
rs,hto,42
hto,rs,42
hto,ht,22
ht,hto,22
ht,tb,223
tb,ht,223
tb,tbu,28
tbu,tb,28
tbu,tbr,42
tbr,tbu,42
tbr,gz,49
gz,tbr,49
gz,bd,97
bd,gz,97
bd,etn,111
etn,bd,111
etn,rsd,129
rsd,etn,129
ledn,ldl,33
ldl,ledn,33
ldl,apn,120
apn,ldl,120
apn,bdg,80
bdg,apn,80
bdg,wd,111
wd,bdg,111
apn,bsk,57
bsk,apn,57
bsk,bsks,10
bsks,bsk,10
bsks,wadn,12
wadn,bsks,12
wadn,wad,13
