stationCode,stationName
utm,Utrecht Maliebaan
bhv,Bilthoven
uto,Utrecht Overvecht
ut,Utrecht Centraal
ndb,Naarden-Bussum
ampo,Almere Poort
bd,Breda
bdpb,Breda-Prinsenbeek
zlw,Lage Zwaluwe
ehv,Eindhoven
ehs,Eindhoven Strijp-S
bet,Best
btl,Boxtel
ot,Oisterwijk
tb,Tilburg
rsd,Roosendaal
odb,Oudenbosch
zvb,Zevenbergen
ddzd,Dordrecht Zuid
ddr,Dordrecht
ddrs,Dordrecht Stadspolders
sdtb,Sliedrecht Baanhoek
sdt,Sliedrecht
hbzm,Hardinxveld Blauwe Zoom
gnd,Hardinxveld-Giessendam
bhdv,Boven-Hardinxveld
gr,Gorinchem
akl,Arkel
ldm,Leerdam
bsd,Beesd
gdm,Geldermalsen
hdr,Den Helder
hdrz,Den Helder Zuid
ana,Anna Paulowna
sgn,Schagen
hwd,Heerhugowaard
amrn,Alkmaar Noord
amr,Alkmaar
hlo,Heiloo
cas,Castricum
utg,Uitgeest
kma,Krommenie-Assendelft
wm,Wormerveer
zzs,Zaandijk Zaanse Schans
kz,Koog aan de Zaan
zd,Zaandam
ass,Amsterdam Sloterdijk
asd,Amsterdam Centraal
asdm,Amsterdam Muiderpoort
asa,Amsterdam Amstel
dvd,Duivendrecht
asb,Amsterdam Bijlmer ArenA
ashd,Amsterdam Holendrecht
ac,Abcoude
bkl,Breukelen
mas,Maarssen
utzl,Utrecht Zuilen
utvr,Utrecht Vaartsche Rijn
bnk,Bunnik
db,Driebergen-Zeist
mrn,Maarn
klp,Veenendaal-de Klomp
ed,Ede-Wageningen
wf,Wolfheze
otb,Oosterbeek
ah,Arnhem Centraal
ahz,Arnhem Zuid
est,Elst
nml,Nijmegen Lent
nm,Nijmegen
rhn,Rhenen
vndc,Veenendaal Centrum
vndw,Veenendaal West
utlr,Utrecht Leidsche Rijn
utt,Utrecht Terwijde
vtn,Vleuten
wd,Woerden
gdg,Gouda Goverwelle
gd,Gouda
llzm,Lansingerland-Zoetermeer
ztmo,Zoetermeer Oost
ztm,Zoetermeer
ypb,Den Haag Ypenburg
vb,Voorburg
gvc,Den Haag Centraal
zvt,Zandvoort aan Zee
ovn,Overveen
hlm,Haarlem
bll,Bloemendaal
sptz,Santpoort Zuid
sptn,Santpoort Noord
drh,Driehuis
bv,Beverwijk
hk,Heemskerk
ekz,Enkhuizen
bkf,Bovenkarspel Flora
bkg,Bovenkarspel-Grootebroek
hks,Hoogkarspel
hnk,Hoorn Kersenboogerd
hn,Hoorn
pmo,Purmerend Overwhere
pmr,Purmerend
pmw,Purmerend Weidevenne
zdk,Zaandam Kogerveld
obd,Obdam
stv,Stavoren
kmw,Koudum-Molkwerum
hnp,Hindeloopen
wk,Workum
ijt,IJlst
sk,Sneek
sknd,Sneek Noord
mg,Mantgum
lw,Leeuwarden
adh,Leeuwarden Achter De Hoven
lwc,Leeuwarden Camminghaburen
hdg,Hurdegaryp
fwd,Feanwalden
dwe,De Westereen
bp,Buitenpost
gk,Grijpskerk
zh,Zuidhorn
gn,Groningen
gerp,Groningen Europapark
kw,Kropswolde
mth,Martenshoek
hgz,Hoogezand-Sappemeer
spm,Sappemeer Oost
zb,Zuidbroek
sda,Scheemda
ws,Winschoten
nsch,Bad Nieuweschans
hlgh,Harlingen Haven
hlg,Harlingen
fn,Franeker
drp,Dronryp
dei,Deinum
gw,Grou-Jirnsum
akm,Akkrum
hr,Heerenveen
hry,Heerenveen IJsstadion
wv,Wolvega
swk,Steenwijk
mp,Meppel
zl,Zwolle
wz,Wezep
hde,'t Harde
ns,Nunspeet
hd,Harderwijk
eml,Ermelo
pt,Putten
nkk,Nijkerk
avat,Amersfoort Vathorst
amfs,Amersfoort Schothorst
amf,Amersfoort
dld,Den Dolder
utln,Utrecht Lunetten
htn,Houten
htnc,Houten Castellum
cl,Culemborg
zbm,Zaltbommel
ht,'s-Hertogenbosch
rd,Roodeschool
uhm,Uithuizermeeden
uhz,Uithuizen
ust,Usquert
wfm,Warffum
bf,Baflo
wsm,Winsum
swd,Sauwerd
gnn,Groningen Noord
vdm,Veendam
dz,Delfzijl
dzw,Delfzijl West
apg,Appingedam
lp,Loppersum
stm,Stedum
bdm,Bedum
hrn,Haren
asn,Assen
bl,Beilen
hgv,Hoogeveen
hno,Heino
rat,Raalte
nvd,Nijverdal
wdn,Wierden
aml,Almelo
emn,Emmen
emnz,Emmen Zuid
na,Nieuw Amsterdam
dln,Dalen
co,Coevorden
gbg,Gramsbergen
hdb,Hardenberg
mrb,Mariënberg
omn,Ommen
dl,Dalfsen
zlsh,Zwolle Stadshagen
kpn,Kampen
gdk,Geerdijk
vhp,Vroomshoop
da,Daarlerveen
vz,Vriezenveen
amri,Almelo de Riet
bn,Borne
hgl,Hengelo
